City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tabou,CI,2022-04-05 17:56:16,4.423,-7.3528,83.25,78,89,10.13
1,Tyukhtet,RU,2022-04-05 17:56:17,56.5389,89.3011,38.48,87,100,7.83
2,Chincha Alta,PE,2022-04-05 17:56:17,-13.4099,-76.1323,70.39,67,35,8.5
3,Harper,LR,2022-04-05 17:56:18,4.375,-7.7169,83.52,78,94,10.31
4,Albany,US,2022-04-05 17:56:07,42.6001,-73.9662,57.63,42,49,5.01
5,Pevek,RU,2022-04-05 17:56:19,69.7008,170.3133,-26.54,100,83,5.35
6,Port Alfred,ZA,2022-04-05 17:56:19,-33.5906,26.891,65.21,74,7,5.66
7,Jacareacanga,BR,2022-04-05 17:56:19,-6.2222,-57.7528,88.63,55,74,4.85
8,Ponta Do Sol,PT,2022-04-05 17:56:20,32.6667,-17.1,62.71,63,52,5.66
9,Tiksi,RU,2022-04-05 17:56:20,71.6872,128.8694,-18.44,100,100,1.79
10,Micheweni,TZ,2022-04-05 17:56:21,-4.9667,39.8333,83.17,74,43,10.2
11,Luderitz,NA,2022-04-05 17:56:21,-26.6481,15.1594,62.47,81,0,14.12
12,Manbij,SY,2022-04-05 17:56:22,36.5281,37.9549,63.68,43,100,3.18
13,Bambous Virieux,MU,2022-04-05 17:56:22,-20.3428,57.7575,79.05,89,75,6.91
14,Bethel,US,2022-04-05 17:54:40,41.3712,-73.414,59.38,49,91,8.9
15,Kijini,TZ,2022-04-05 17:56:23,-5.85,39.3167,83.93,76,10,12.06
16,Cape Town,ZA,2022-04-05 17:51:51,-33.9258,18.4232,61.27,86,40,8.05
17,Bluff,NZ,2022-04-05 17:56:24,-46.6,168.3333,53.26,72,96,31.94
18,Bo Rai,TH,2022-04-05 17:56:24,12.5728,102.5371,75.92,74,31,2.59
19,San Patricio,US,2022-04-05 17:56:25,28.017,-97.5169,84.29,58,100,5.53
20,Ahuimanu,US,2022-04-05 17:56:25,21.4447,-157.8378,74.35,78,100,5.99
21,Fare,PF,2022-04-05 17:56:26,-16.7,-151.0167,82.76,76,8,21.18
22,Nampula,MZ,2022-04-05 17:56:26,-15.1165,39.2666,80.55,74,40,9.22
23,Sao Felix Do Xingu,BR,2022-04-05 17:56:27,-6.6447,-51.995,84.31,66,100,2.28
24,Georgetown,MY,2022-04-05 17:56:15,5.4112,100.3354,78.73,99,40,3.44
25,Vila,PT,2022-04-05 17:56:28,42.0304,-8.1588,52.68,43,80,3.38
26,Kaitangata,NZ,2022-04-05 17:56:28,-46.2817,169.8464,51.28,87,100,12.19
27,San Policarpo,PH,2022-04-05 17:56:28,12.1791,125.5072,79.23,87,100,13.22
28,Mar Del Plata,AR,2022-04-05 17:52:14,-38.0023,-57.5575,75.87,40,0,21.85
29,Mataura,NZ,2022-04-05 17:56:29,-46.1927,168.8643,48.51,85,98,9.69
30,Victoria,HK,2022-04-05 17:56:30,22.2855,114.1577,71.19,75,15,3.0
31,Salalah,OM,2022-04-05 17:56:30,17.0151,54.0924,78.21,72,0,1.88
32,Sterling,US,2022-04-05 17:53:24,39.0062,-77.4286,54.19,90,100,5.01
33,Tuktoyaktuk,CA,2022-04-05 17:56:31,69.4541,-133.0374,-16.6,69,40,6.91
34,Kyabe,TD,2022-04-05 17:56:32,9.4515,18.9449,93.79,31,36,5.84
35,Birjand,IR,2022-04-05 17:56:32,32.8663,59.2211,72.07,7,20,0.0
36,Hobart,AU,2022-04-05 17:51:39,-42.8794,147.3294,53.46,71,100,4.61
37,Rawson,AR,2022-04-05 17:56:33,-43.3002,-65.1023,75.79,33,30,24.4
38,Maceio,BR,2022-04-05 17:54:51,-9.6658,-35.7353,85.44,61,75,14.97
39,Qaanaaq,GL,2022-04-05 17:56:34,77.484,-69.3632,13.73,89,61,1.68
40,New Norfolk,AU,2022-04-05 17:56:34,-42.7826,147.0587,53.1,67,80,1.99
41,Puerto Ayora,EC,2022-04-05 17:56:35,-0.7393,-90.3518,84.16,85,66,4.0
42,Busselton,AU,2022-04-05 17:56:36,-33.65,115.3333,56.93,69,59,7.4
43,Ambilobe,MG,2022-04-05 17:56:37,-13.2,49.05,75.34,93,99,2.48
44,Vung Tau,VN,2022-04-05 17:56:37,10.346,107.0843,79.52,83,91,11.52
45,Rio Brilhante,BR,2022-04-05 17:57:38,-21.8019,-54.5464,92.41,43,9,3.6
46,Mangai,CD,2022-04-05 17:57:38,-4.05,19.5333,75.29,87,99,5.35
47,Bredasdorp,ZA,2022-04-05 17:57:39,-34.5322,20.0403,61.21,65,14,14.81
48,Jutai,BR,2022-04-05 17:57:39,-5.1833,-68.9,74.21,97,100,3.69
49,Hithadhoo,MV,2022-04-05 17:57:40,-0.6,73.0833,83.08,66,11,3.69
50,Coquimbo,CL,2022-04-05 17:57:40,-29.9533,-71.3436,58.73,88,75,16.11
51,Nyurba,RU,2022-04-05 17:57:41,63.2842,118.3319,-9.89,100,98,1.61
52,Gambo,CF,2022-04-05 17:57:41,4.6482,22.2633,72.55,90,88,3.78
53,Kenai,US,2022-04-05 17:57:42,60.5544,-151.2583,33.15,88,100,13.06
54,Nakonde,ZM,2022-04-05 17:57:42,-9.3421,32.745,60.66,95,46,3.58
55,Hermanus,ZA,2022-04-05 17:57:43,-34.4187,19.2345,61.81,76,28,14.81
56,Mahibadhoo,MV,2022-04-05 17:57:43,3.7833,72.9667,83.68,64,98,1.97
57,Vao,NC,2022-04-05 17:57:43,-22.6667,167.4833,76.21,81,100,6.87
58,Worthington,US,2022-04-05 17:57:44,40.0931,-83.018,58.64,71,75,10.36
59,Anadyr,RU,2022-04-05 17:57:44,64.75,177.4833,-12.5,77,0,11.18
60,Catalina,US,2022-04-05 17:53:08,32.5056,-110.9211,79.72,25,0,1.99
61,Okhotsk,RU,2022-04-05 17:57:46,59.3833,143.3,12.92,84,100,10.36
62,Cidreira,BR,2022-04-05 17:57:46,-30.1811,-50.2056,71.62,69,85,10.02
63,Castro,BR,2022-04-05 17:57:46,-24.7911,-50.0119,77.65,63,24,4.65
64,Rikitea,PF,2022-04-05 17:57:47,-23.1203,-134.9692,78.85,69,13,19.91
65,Butaritari,KI,2022-04-05 17:57:52,3.0707,172.7902,80.71,82,31,16.22
66,Chokurdakh,RU,2022-04-05 17:57:52,70.6333,147.9167,-20.6,100,96,5.23
67,Los Llanos De Aridane,ES,2022-04-05 17:57:52,28.6585,-17.9182,60.55,70,75,20.71
68,Fort Nelson,CA,2022-04-05 17:57:53,58.8053,-122.7002,27.99,69,20,2.3
69,Saldanha,ZA,2022-04-05 17:57:53,-33.0117,17.9442,62.65,80,7,6.44
70,Kontagora,NG,2022-04-05 17:57:53,10.3999,5.4695,95.45,25,86,4.18
71,Hilo,US,2022-04-05 17:57:54,19.7297,-155.09,71.11,97,100,1.83
72,Luwuk,ID,2022-04-05 17:57:54,-0.9516,122.7875,76.96,87,98,3.11
73,Constanza,DE,2022-04-05 17:57:54,47.6603,9.1758,48.63,86,100,5.3
74,Virginia Beach,US,2022-04-05 17:57:30,36.8529,-75.978,79.05,53,66,9.31
75,Cockburn Town,TC,2022-04-05 17:57:55,21.4612,-71.1419,78.51,73,5,12.44
76,Ushuaia,AR,2022-04-05 17:57:55,-54.8,-68.3,38.86,81,75,23.02
77,Talnakh,RU,2022-04-05 17:57:55,69.4865,88.3972,8.06,76,64,7.74
78,Alugan,PH,2022-04-05 17:57:56,12.2188,125.4808,79.03,87,100,13.62
79,Fairbanks,US,2022-04-05 17:57:46,64.8378,-147.7164,17.22,77,99,1.01
80,Cabo San Lucas,MX,2022-04-05 17:53:43,22.8909,-109.9124,78.62,62,11,3.0
81,Kapaa,US,2022-04-05 17:57:56,22.0752,-159.319,75.18,98,100,10.36
82,Gizo,SB,2022-04-05 17:57:56,-8.103,156.8419,78.1,94,100,11.52
83,Darovskoy,RU,2022-04-05 17:57:57,58.77,47.9564,29.37,93,98,6.06
84,Winslow,US,2022-04-05 17:57:57,35.0242,-110.6974,76.96,15,13,8.99
85,Sabak,MY,2022-04-05 17:57:57,3.7675,100.9875,75.56,92,98,1.61
86,Fortuna,US,2022-04-05 17:57:58,40.5982,-124.1573,52.93,74,9,8.01
87,Samarai,PG,2022-04-05 17:57:58,-10.6167,150.6667,78.82,82,99,15.43
88,Castelldefels,ES,2022-04-05 17:57:58,41.2779,1.9703,58.12,58,0,4.61
89,Olkhovka,RU,2022-04-05 17:58:59,53.2115,60.6069,31.86,69,88,14.47
90,Norman Wells,CA,2022-04-05 17:58:59,65.282,-126.8329,-3.96,59,20,5.75
91,Sobolevo,RU,2022-04-05 17:58:59,54.4299,31.8996,34.27,97,100,16.6
92,Ketchikan,US,2022-04-05 17:59:00,55.3422,-131.6461,41.45,68,100,7.72
93,Vaini,TO,2022-04-05 17:59:00,-21.2,-175.2,71.76,94,20,1.14
94,Punta Arenas,CL,2022-04-05 17:59:00,-53.15,-70.9167,46.51,46,40,11.5
95,Taoudenni,ML,2022-04-05 17:59:01,22.6783,-3.9836,95.63,14,0,7.99
96,Alta Floresta,BR,2022-04-05 17:59:01,-9.8756,-56.0861,82.22,78,100,3.44
97,Avarua,CK,2022-04-05 17:59:01,-21.2078,-159.775,78.85,94,40,3.44
98,Thompson,CA,2022-04-05 17:59:02,55.7435,-97.8558,35.76,75,100,9.22
99,Tasiilaq,GL,2022-04-05 17:59:02,65.6145,-37.6368,14.25,89,61,4.99
100,Bundaberg,AU,2022-04-05 17:59:02,-24.85,152.35,68.29,97,5,8.05
101,Mackenzie,CA,2022-04-05 17:59:03,55.2999,-123.1698,34.02,80,100,9.22
